shoe_code,keyword_id,score
sport_shoe,1,5
sport_shoe,2,5
sport_shoe,3,5
sport_shoe,4,4
sport_shoe,5,4
sport_shoe,6,3
sport_shoe,29,3
sport_shoe,21,2
sport_shoe,11,1
sport_shoe,13,-2
sport_shoe,19,-2
sandals,13,5
sandals,19,5
sandals,11,4
sandals,12,4
sandals,29,3
sandals,21,3
sandals,26,2
sandals,1,-4
sandals,4,-5
boots,26,3
boots,27,3
boots,34,3
boots,36,3
boots,33,2
boots,29,2
boots,1,-3
boots,3,-2
high_heels,22,4
high_heels,31,4
high_heels,33,4
high_heels,25,3
high_heels,26,2
high_heels,1,-5
high_heels,3,-4
high_heels,4,-5
slippers,13,4
slippers,19,4
slippers,11,3
slippers,21,2
slippers,29,2
slippers,20,2
slippers,1,-5
slippers,4,-5
